n_boxes,m_rooms,time_ms
200,200,0.006583
200,200,0.004959
200,200,0.005083
200,200,0.004541
200,200,0.004792
400,400,0.010833
400,400,0.010666
400,400,0.0105
400,400,0.011083
400,400,0.010583
800,800,0.024667
800,800,0.022625
800,800,0.023625
800,800,0.023167
800,800,0.0225
1600,1600,0.051083
1600,1600,0.052458
1600,1600,0.050875
1600,1600,0.050917
1600,1600,0.050959
3200,3200,0.117333
3200,3200,0.113042
3200,3200,0.1135
3200,3200,0.107417
3200,3200,0.107083
6400,6400,0.235958
6400,6400,0.227792
6400,6400,0.233666
6400,6400,0.229167
6400,6400,0.234542
12800,12800,0.519666
12800,12800,0.698042
12800,12800,0.555416
12800,12800,0.489708
12800,12800,0.555959
